# epoch 0  H=7.9996 C=8.0025 HO=-0.0004  A(t)=0
        38  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        25  ................  dadadadadadadadadadadadadadadada
        19  wwwwwwwwwwwwwwww  77777777777777777777777777777777
        17  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        16  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        16  BBBBBBBBBBBBBBBB  42424242424242424242424242424242
# epoch 1400  H=7.9929 C=7.9545 HO=-0.0071  A(t)=85
       241  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
        90  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        49  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
        25  ................  dadadadadadadadadadadadadadadada
        22  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        17  ................  dededededededededededededededede
        17  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
        16  ................  07070707070707070707070707070707
        15  ................  fbfbfbfbfbfbfbfbfbfbfbfbfbfbfbfb
# epoch 1450  H=7.9928 C=7.9535 HO=-0.0073  A(t)=86
       212  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       103  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        80  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
        41  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
        27  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        22  ................  dadadadadadadadadadadadadadadada
        22  aaaaaaaaaaaaaaaa  61616161616161616161616161616161
        17  ................  dededededededededededededededede
        17  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
# epoch 1500  H=7.9926 C=7.9526 HO=-0.0075  A(t)=87
       200  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       139  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        45  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        44  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
        41  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
        22  ................  dadadadadadadadadadadadadadadada
        19  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
        19  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
        17  ................  dededededededededededededededede
        16  vvvvvvvvvvvvvvvv  76767676767676767676767676767676
# epoch 1550  H=7.9926 C=7.9540 HO=-0.0075  A(t)=91
       192  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       108  }}}}}}}}}}}}}}}}  7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d7d
        45  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
        44  ................  b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4
        41  ................  d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5
        19  ................  c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5
