# epoch 0  H=7.9999 C=8.0025 HO=-0.0026  A(t)=0
       502  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       310  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       260  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
       235  9999999999999999  39393939393939393939393939393939
       231  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
# epoch 5200  H=7.5879 C=7.3287 HO=0.2592  A(t)=420
      1307  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       685  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       568  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       565  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       552  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       416  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       379  9999999999999999  39393939393939393939393939393939
       368  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       204  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       203  6666666666666666  36363636363636363636363636363636
# epoch 5400  H=7.5773 C=7.3198 HO=0.2575  A(t)=421
      1340  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       729  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       694  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       646  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       645  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       458  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       309  8888888888888888  38383838383838383838383838383838
       306  9999999999999999  39393939393939393939393939393939
       231  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       208  AAAAAAAAAAAAAAAA  41414141414141414141414141414141
# epoch 5600  H=7.5754 C=7.3175 HO=0.2578  A(t)=421
      1281  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
       829  ================  3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d
       671  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       638  ;;;;;;;;;;;;;;;;  3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b
       556  >>>>>>>>>>>>>>>>  3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e
       469  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       336  ::::::::::::::::  3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a
       316  CCCCCCCCCCCCCCCC  43434343434343434343434343434343
       295  9999999999999999  39393939393939393939393939393939
       277  8888888888888888  38383838383838383838383838383838
# epoch 5800  H=7.5661 C=7.3059 HO=0.2602  A(t)=423
      1035  <<<<<<<<<<<<<<<<  3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c
