# epoch 0  H=7.9999 C=8.0025 HO=-0.0001  A(t)=0
       109  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       106  ................  01010101010101010101010101010101
       102  ))))))))))))))))  29292929292929292929292929292929
# epoch 7000  H=7.7907 C=7.5775 HO=0.1482  A(t)=314
       550  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       537  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       373  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       278  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       146  ZZZZZZZZZZZZZZZZ  5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a
       145  ................  0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f
       144  ................  01010101010101010101010101010101
       135  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       134  ................  ffffffffffffffffffffffffffffffff
       120  ................  9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c
# epoch 7250  H=7.7849 C=7.5645 HO=0.1544  A(t)=314
       573  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       510  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       402  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       180  ................  ffffffffffffffffffffffffffffffff
       146  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       125  ||||||||||||||||  7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c
       121  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       116  ................  01010101010101010101010101010101
       111  ................  fefefefefefefefefefefefefefefefe
       102  @@@@@@@@@@@@@@@@  40404040404040404040404040404040
# epoch 7500  H=7.7809 C=7.5619 HO=0.1506  A(t)=316
       768  ,,,,,,,,,,,,,,,,  2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c
       561  [[[[[[[[[[[[[[[[  5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b5b
       521  ]]]]]]]]]]]]]]]]  5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d
       251  ................  2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e
       172  \\\\\\\\\\\\\\\\  5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c5c
       151  YYYYYYYYYYYYYYYY  59595959595959595959595959595959
       146  ................  fcfcfcfcfcfcfcfcfcfcfcfcfcfcfcfc
       139  ................  ffffffffffffffffffffffffffffffff
       128  ................  01010101010101010101010101010101
       100  ----------------  2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d
# epoch 7750  H=7.7789 C=7.5676 HO=0.1452  A(t)=316
